rank,stock_id,stock_name,total_holders,etf_type,listing_year
1,0050,元大台灣50,2772292,equity,2003
2,00878,國泰永續高股息,1572893,dividend,2020
3,0056,元大高股息,1563958,dividend,2007
4,00919,群益台灣精選高息,1317371,dividend,2022
5,00981A,主動統一台股增長,758714,active,2025
6,009816,凱基台灣TOP50,708483,equity,2026
7,006208,富邦台50,679099,equity,2012
8,0052,富邦科技,445537,equity,2006
9,00929,復華台灣科技優息,422800,dividend,2023
10,00940,元大台灣價值高息,373828,dividend,2024
11,00713,元大台灣高息低波,310000,dividend,2017
12,00881,國泰台灣科技龍頭,309495,equity,2020
13,00918,大華優利高填息30,248702,equity,2022
14,00992A,主動群益科技創新,211477,active,2025
15,00922,國泰台灣領袖50,190359,equity,2023
16,00631L,元大台灣50正2,168551,leverage,2014
17,00982A,主動群益台灣強棒,159464,active,2025
18,00991A,主動復華未來50,157760,active,2025
19,00900,富邦特選高股息30,154040,dividend,2021
20,00712,復華富時不動產,140437,reit,2017
21,00891,中信關鍵半導體,137361,equity,2021
22,00830,國泰費城半導體,134574,equity,2019
23,00939,統一台灣高息動能,114977,dividend,2024
24,00988A,主動統一全球創新,112280,active,2025
25,00923,群益台ESG低碳50,108113,equity,2023
26,00400A,主動國泰動能高息,102379,active,2026
27,00646,元大S&P500,99550,equity,2015
28,00915,凱基優選高股息30,96002,dividend,2022
29,00692,富邦公司治理,92774,equity,2017
30,00882,中信中國高股息,91597,dividend,2021
31,00927,群益半導體收益,84381,equity,2023
32,00757,統一FANG+,81681,equity,2018
33,00850,元大臺灣ESG永續,81172,equity,2019
34,00990A,主動元大AI新經濟,79232,active,2025
35,00662,富邦NASDAQ,78296,equity,2016
36,00935,野村臺灣新科技50,68715,equity,2023
37,00980A,主動野村臺灣優選,63180,active,2025
38,00635U,期元大S&P黃金,60300,commodity,2015
39,00893,國泰智能電動車,59458,equity,2021
40,00924,復華S&P500成長,57577,equity,2023
41,00993A,主動安聯台灣,56698,active,2026
42,00997A,主動群益美國增長,56330,active,2026
43,00885,富邦越南,55302,equity,2021
44,00953B,群益優選非投等債,53856,bond,2024
45,009820,元大納斯達克精選,53729,equity,2026
46,009805,新光美國電力基建,52942,equity,2025
47,009819,中信數據及電力,52262,equity,2026
48,00941,中信上游半導體,50692,equity,2024
49,00985A,主動野村台灣50,50480,active,2025
50,00934,中信成長高股息,46876,dividend,2023
51,00984A,主動安聯台灣高息,44749,active,2025
52,00965,元大航太防衛科技,43293,equity,2024
53,00905,FT臺灣Smart,42645,equity,2022
54,00701,國泰股利精選30,40551,dividend,2017
55,00946,群益科技高息成長,40121,dividend,2024
56,00896,中信綠能及電動車,40101,equity,2021
57,00738U,期元大道瓊白銀,39994,commodity,2018
58,00909,國泰數位支付服務,37921,equity,2022
59,00892,富邦台灣半導體,34932,equity,2021
60,009802,富邦旗艦50,33827,equity,2025
61,009813,貝萊德標普卓越50,31223,equity,2025
62,00895,富邦未來車,31192,equity,2021
63,00910,第一金太空衛星,31181,equity,2022
64,00936,台新永續高息中小,30165,dividend,2023
65,009811,統一美國50,27809,equity,2025
66,00995A,主動中信台灣卓越,26847,active,2026
67,00894,中信小資高價30,25953,equity,2021
68,00733,富邦臺灣中小,25191,equity,2018
69,00904,新光臺灣半導體30,24943,equity,2022
70,00680L,元大美債20正2,24599,leverage,2017
71,00907,永豐優息存股,24021,dividend,2022
72,00996A,主動兆豐台灣豐收,23886,active,2026
73,00930,永豐ESG低碳高息,22917,dividend,2023
74,00762,元大全球AI,22137,equity,2019
75,00994A,主動第一金台股優,21894,active,2026
76,00945B,凱基美國非投等債,21616,bond,2024
77,009800,中信NASDAQ,21518,equity,2025
78,00949,復華日本龍頭,21001,equity,2024
79,00902,中信電池及儲能,19963,equity,2022
80,00770,國泰北美科技,19773,equity,2019
